review,sentiment
Everyone agreed the ending was excellent,1
I found the script to be wonderful,1
The show turned out to be surprisingly brilliant,1
I really loved how wonderful the performance was,1
Everyone agreed the movie was fantastic,1
I really loved how fantastic the direction was,1
Everyone agreed this film was lovely,1
I found the movie to be beautiful,1
The acting was fun,1
Everyone agreed the performance was beautiful,1
The movie was impressive,1
What a excellent show,1
I found the direction to be excellent,1
The performance was truly superb from start to finish,1
I really loved how beautiful this film was,1
I found the ending to be brilliant,1
Everyone agreed the screenplay was refreshing,1
The ending was engaging and kept me hooked,1
I really loved how superb the ending was,1
I really loved how stunning the story was,1
What a beautiful film,1
The show turned out to be surprisingly great,1
What a engaging series,1
I found the performance to be fantastic,1
The show was truly heartwarming from start to finish,1
The ending was excellent and kept me hooked,1
I found the direction to be wonderful,1
The show turned out to be surprisingly beautiful,1
The ending turned out to be surprisingly stunning,1
The performance was great and kept me hooked,1
What a fantastic film,1
I found the screenplay to be stunning,1
What a solid movie,1
The script was beautiful and kept me hooked,1
Everyone agreed the plot was stunning,1
The script was captivating,1
The screenplay was truly captivating from start to finish,1
The performance was brilliant and kept me hooked,1
What a delightful movie,1
I really loved how solid the story was,1
The direction was remarkable and kept me hooked,1
This film was outstanding and kept me hooked,1
What a lovely direction,1
What a heartwarming story,1
This series turned out to be surprisingly heartwarming,1
I really loved how remarkable the script was,1
The story was truly fantastic from start to finish,1
I really loved how impressive the story was,1
The movie was truly great from start to finish,1
The plot was superb,1
The story turned out to be surprisingly heartwarming,1
The performance turned out to be surprisingly beautiful,1
The story was stunning,1
Everyone agreed the screenplay was flawless,1
Everyone agreed the direction was remarkable,1
Everyone agreed this film was great,1
I found the movie to be delightful,1
The acting was truly engaging from start to finish,1
This film was charming,1
This film was truly amazing from start to finish,1
I found the performance to be amazing,1
Everyone agreed the acting was satisfying,1
What a fun story,1
The ending turned out to be surprisingly satisfying,1
I found the screenplay to be brilliant,1
The screenplay was engaging and kept me hooked,1
I found the screenplay to be superb,1
The story turned out to be surprisingly brilliant,1
This series was enjoyable and kept me hooked,1
This series was outstanding,1
The acting turned out to be surprisingly good,1
I found the show to be superb,1
This series turned out to be surprisingly enjoyable,1
I really loved how captivating the story was,1
The show turned out to be surprisingly lovely,1
I really loved how impressive the script was,1
I really loved how remarkable the acting was,1
The acting was good and kept me hooked,1
The ending was solid,1
The movie was enjoyable and kept me hooked,1
The plot turned out to be surprisingly delightful,1
The screenplay turned out to be surprisingly solid,1
I really loved how fantastic the ending was,1
This film was impressive and kept me hooked,1
I really loved how charming the acting was,1
The screenplay was satisfying,1
The screenplay turned out to be surprisingly fun,1
I found the script to be fantastic,1
I really loved how stunning the direction was,1
Everyone agreed the screenplay was outstanding,1
I found the script to be charming,1
This series was remarkable and kept me hooked,1
I found the direction to be solid,1
This series was truly outstanding from start to finish,1
The story was truly amazing from start to finish,1
The performance was truly engaging from start to finish,1
The performance was satisfying and kept me hooked,1
The script was truly captivating from start to finish,1
The show was truly lovely from start to finish,1
I found the movie to be amazing,1
The show was truly solid from start to finish,1
I really loved how delightful the direction was,1
I really loved how enjoyable the movie was,1
I really loved how good the plot was,1
What a charming performance,1
The movie turned out to be surprisingly solid,1
The show was truly excellent from start to finish,1
The show was good,1
The screenplay was truly flawless from start to finish,1
The performance was truly amazing from start to finish,1
I absolutely loved this movie,1
This film was amazing and brilliant,1
What a fantastic experience,1
The acting was excellent,1
I really enjoyed the story,1
This was a wonderful movie,1
The story was dull and I lost interest quickly,0
I found the performance to be tiresome,0
The show turned out to be surprisingly terrible,0
The script was poor and I lost interest quickly,0
This film was unpleasant,0
What a tedious acting,0
I found the movie to be disgusting,0
The show was frustrating,0
This film turned out to be surprisingly frustrating,0
I really disliked how poor the performance was,0
This series was forgettable and I lost interest quickly,0
The show was unpleasant and I lost interest quickly,0
What a unconvincing show,0
The show was tedious and I lost interest quickly,0
I found the story to be underwhelming,0
The direction turned out to be surprisingly frustrating,0
I really disliked how sloppy this film was,0
I really disliked how boring the direction was,0
I found the script to be mediocre,0
The story turned out to be surprisingly flat,0
The story was truly forgettable from start to finish,0
I found the screenplay to be unconvincing,0
The direction was truly bad from start to finish,0
The script was truly unconvincing from start to finish,0
Everyone agreed this series was underwhelming,0
I really disliked how underwhelming the ending was,0
I found the ending to be annoying,0
This series was confusing,0
The ending was unpleasant and I lost interest quickly,0
The screenplay was flat,0
What a annoying direction,0
I found the show to be boring,0
I found the acting to be disappointing,0
The plot was forgettable,0
What a sloppy direction,0
The direction was dull and I lost interest quickly,0
I found this series to be annoying,0
The plot was truly terrible from start to finish,0
What a boring direction,0
I found the movie to be dreadful,0
I really disliked how boring the plot was,0
I found this film to be forgettable,0
The screenplay turned out to be surprisingly awful,0
What a underwhelming show,0
The performance was dull,0
I really disliked how flat the show was,0
What a horrible film,0
I really disliked how horrible the movie was,0
What a dreadful plot,0
I really disliked how disgusting the show was,0
The plot was truly frustrating from start to finish,0
The plot was confusing,0
The plot was terrible,0
I really disliked how tiresome the movie was,0
I really disliked how bad the show was,0
Everyone agreed the screenplay was disappointing,0
Everyone agreed the script was bad,0
I really disliked how mediocre the show was,0
I really disliked how annoying the acting was,0
This series was truly tiresome from start to finish,0
The direction was confusing,0
I found the story to be awful,0
What a tiresome script,0
The direction was horrible,0
Everyone agreed this film was sloppy,0
What a sloppy show,0
What a unconvincing performance,0
The movie was truly frustrating from start to finish,0
The story was forgettable and I lost interest quickly,0
The movie turned out to be surprisingly forgettable,0
The ending turned out to be surprisingly unpleasant,0
What a terrible acting,0
The acting was truly confusing from start to finish,0
Everyone agreed the movie was annoying,0
What a bad film,0
I really disliked how dreadful the show was,0
The acting was poor,0
The story was lifeless,0
What a awful direction,0
I really disliked how dreadful the plot was,0
This film was truly disastrous from start to finish,0
Everyone agreed the script was flat,0
The ending was tiresome and I lost interest quickly,0
The story was truly mediocre from start to finish,0
Everyone agreed the movie was flat,0
This series was truly flat from start to finish,0
The show was disgusting,0
I really disliked how disastrous the script was,0
This film was awful,0
The story turned out to be surprisingly dreadful,0
This film was lifeless and I lost interest quickly,0
The show was terrible,0
I really disliked how unpleasant the script was,0
The screenplay was forgettable,0
I found the screenplay to be boring,0
I found the script to be poor,0
This series was tiresome and I lost interest quickly,0
What a boring plot,0
I really disliked how tiresome the acting was,0
The acting was tiresome and I lost interest quickly,0
I found the screenplay to be lifeless,0
What a sloppy screenplay,0
I really disliked how weak the movie was,0
This film was truly weak from start to finish,0
What a forgettable ending,0
The performance was truly disastrous from start to finish,0
The movie was bad,0
I found the screenplay to be forgettable,0
This series was tedious and I lost interest quickly,0
What a flat plot,0
I hated this movie,0
This film was terrible and boring,0
What a horrible experience,0
The acting was awful,0
I really disliked the story,0
This was a complete waste of time,0
